               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08837,            0.025564,            0.031717,             0.82589,             0.22481,             0.16992,            0.065259,            0.066209,            0.018428,            0.014214,              0.0704,           0.0032889,           0.0032889
                   1,            0.064693,            0.020487,            0.008218,             0.29749,             0.48643,             0.35921,             0.15226,            0.057764,             0.01229,           0.0036031,            0.040334,           0.0065567,           0.0065567
                   2,            0.061607,             0.01663,           0.0048471,             0.29523,              0.5655,             0.37406,              0.1393,            0.067251,            0.014052,           0.0046445,            0.010203,           0.0097584,           0.0097584
                   3,            0.054585,            0.015121,           0.0035616,              0.6174,             0.68601,             0.62774,             0.24212,            0.055011,            0.013213,           0.0053943,            0.009703,            0.009703,            0.009703
                   4,            0.049019,            0.013743,           0.0023634,               0.811,             0.68713,             0.72626,             0.30972,            0.048522,            0.011075,           0.0036399,            0.009703,            0.009703,            0.009703
                   5,            0.046778,            0.014006,           0.0022388,             0.75702,              0.7451,             0.78577,             0.32611,            0.046301,            0.010479,           0.0046155,            0.009604,            0.009604,            0.009604
                   6,              0.0449,            0.012576,           0.0020073,             0.81381,              0.7647,             0.81605,             0.35661,             0.04367,           0.0096813,           0.0019606,            0.009505,            0.009505,            0.009505
                   7,            0.043152,            0.012009,           0.0017612,             0.81577,             0.78275,             0.82246,             0.39423,            0.044824,           0.0094058,           0.0023003,            0.009406,            0.009406,            0.009406
                   8,            0.042246,            0.012443,           0.0014993,             0.79081,             0.81977,             0.83086,             0.41322,            0.041248,           0.0094502,           0.0032112,            0.009307,            0.009307,            0.009307
                   9,            0.041188,             0.01191,           0.0015275,             0.88836,             0.82029,             0.88288,             0.42348,            0.040688,           0.0091383,            0.001069,            0.009208,            0.009208,            0.009208
                  10,            0.040277,            0.012374,           0.0014469,             0.85016,             0.84396,             0.86737,             0.42059,            0.040642,           0.0087713,           0.0011818,            0.009109,            0.009109,            0.009109
                  11,            0.039355,             0.01174,           0.0011582,             0.84315,              0.8601,             0.88367,             0.43699,            0.040055,           0.0084517,          0.00082159,             0.00901,             0.00901,             0.00901
                  12,            0.038651,            0.011957,           0.0011397,             0.86214,             0.86128,             0.88214,             0.43492,             0.03886,           0.0087555,           0.0013398,            0.008911,            0.008911,            0.008911
                  13,             0.03847,            0.011089,           0.0012103,             0.90893,             0.85797,             0.90898,             0.44353,             0.03993,           0.0082546,           0.0010912,            0.008812,            0.008812,            0.008812
                  14,            0.038141,            0.011589,           0.0010471,             0.84911,             0.90809,             0.90704,             0.46053,            0.037127,           0.0084497,           0.0019585,            0.008713,            0.008713,            0.008713
                  15,            0.038187,            0.011383,          0.00095419,             0.89274,             0.89354,             0.91175,             0.46448,            0.037062,            0.008326,           0.0018897,            0.008614,            0.008614,            0.008614
                  16,            0.036868,            0.011147,          0.00074623,             0.87305,             0.88328,             0.90176,              0.4635,             0.03801,            0.008317,          0.00094746,            0.008515,            0.008515,            0.008515
                  17,            0.036378,            0.010869,          0.00065959,             0.91035,              0.8661,             0.92751,             0.48687,            0.036709,           0.0082825,          0.00077212,            0.008416,            0.008416,            0.008416
                  18,            0.036442,            0.011082,           0.0011079,             0.88682,             0.89118,             0.91831,             0.46735,            0.038154,           0.0080393,          0.00071513,            0.008317,            0.008317,            0.008317
                  19,             0.03592,            0.011225,           0.0010058,             0.90699,             0.88565,              0.9187,             0.48705,            0.037517,           0.0080356,          0.00063279,            0.008218,            0.008218,            0.008218
                  20,            0.035708,            0.010944,          0.00089072,             0.90765,             0.88977,             0.93166,             0.49265,            0.036271,           0.0079862,          0.00068477,            0.008119,            0.008119,            0.008119
                  21,            0.035684,            0.010787,            0.000939,             0.91034,             0.88944,             0.92675,               0.485,            0.036572,           0.0081019,          0.00073228,             0.00802,             0.00802,             0.00802
                  22,            0.035423,            0.010866,          0.00093237,             0.90198,             0.89742,             0.91825,             0.47017,            0.036166,             0.00849,          0.00071006,            0.007921,            0.007921,            0.007921
                  23,            0.034688,            0.010494,          0.00072375,             0.91999,             0.90687,             0.93081,             0.48414,            0.036243,           0.0081639,          0.00073914,            0.007822,            0.007822,            0.007822
                  24,            0.034585,            0.010207,          0.00086504,             0.90594,             0.89036,             0.92107,              0.4909,            0.037695,           0.0080702,          0.00070792,            0.007723,            0.007723,            0.007723
                  25,            0.034176,            0.010344,          0.00078961,             0.88629,             0.88178,             0.90969,             0.48033,            0.037538,            0.008603,          0.00083119,            0.007624,            0.007624,            0.007624
                  26,            0.034231,             0.01054,          0.00090024,             0.90319,             0.91461,             0.93876,               0.499,            0.036992,           0.0078685,          0.00075992,            0.007525,            0.007525,            0.007525
                  27,            0.033788,            0.010311,          0.00059458,             0.93692,             0.90885,             0.94096,             0.48119,            0.035762,           0.0082655,          0.00077961,            0.007426,            0.007426,            0.007426
                  28,            0.033733,            0.010188,          0.00066741,             0.90062,             0.90178,             0.93645,             0.49712,             0.03557,           0.0080578,          0.00071048,            0.007327,            0.007327,            0.007327
                  29,            0.033493,            0.010063,          0.00079093,             0.90477,               0.892,             0.93263,             0.48705,            0.036898,           0.0081191,           0.0009342,            0.007228,            0.007228,            0.007228
                  30,            0.033488,             0.01014,          0.00068764,              0.9103,             0.89372,             0.93867,             0.48221,            0.036803,           0.0081916,          0.00054456,            0.007129,            0.007129,            0.007129
                  31,            0.032867,            0.010021,          0.00065635,              0.8967,             0.89365,             0.93291,             0.49636,            0.035886,           0.0082241,          0.00089365,             0.00703,             0.00703,             0.00703
