               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10082,            0.026925,            0.037686,           0.0023289,             0.63043,            0.007465,           0.0014908,            0.081624,            0.023104,            0.031067,               0.073,               0.003,               0.003
                   1,            0.080491,            0.025122,            0.029173,             0.79365,             0.13768,             0.14636,            0.029771,            0.069164,            0.022981,            0.020431,             0.04504,           0.0060396,           0.0060396
                   2,            0.072764,            0.024433,              0.0176,              0.3577,             0.10145,            0.018724,           0.0033561,            0.071601,            0.020853,            0.010435,            0.017018,           0.0090178,           0.0090178
                   3,            0.070548,            0.020932,           0.0087399,             0.82648,             0.19565,             0.20312,            0.046646,            0.074069,            0.019743,           0.0035335,            0.009703,            0.009703,            0.009703
                   4,            0.066943,             0.02108,           0.0063051,             0.19627,             0.31884,             0.20507,            0.049962,            0.062985,            0.019236,           0.0017499,            0.009703,            0.009703,            0.009703
                   5,            0.062598,            0.018851,           0.0047913,             0.14708,             0.35507,             0.14759,            0.035861,            0.065311,            0.020069,            0.001933,            0.009604,            0.009604,            0.009604
                   6,            0.060491,            0.017856,           0.0045625,             0.37867,             0.47567,              0.4537,             0.12055,            0.059786,            0.016637,           0.0030401,            0.009505,            0.009505,            0.009505
                   7,            0.058535,            0.016788,            0.003908,             0.26713,             0.57971,             0.46462,             0.15659,            0.057416,            0.018175,           0.0024925,            0.009406,            0.009406,            0.009406
                   8,            0.056617,            0.015814,           0.0028235,             0.45338,             0.63264,             0.60036,             0.18807,             0.05315,            0.016016,            0.001386,            0.009307,            0.009307,            0.009307
                   9,            0.055602,            0.015594,           0.0028533,             0.55402,             0.71014,             0.59134,             0.18891,            0.053521,            0.014978,           0.0013399,            0.009208,            0.009208,            0.009208
                  10,            0.054067,            0.015339,           0.0030995,             0.71866,             0.72464,             0.72224,             0.24961,            0.049885,            0.015208,           0.0011367,            0.009109,            0.009109,            0.009109
                  11,            0.051268,            0.015287,           0.0023474,             0.73033,             0.79789,             0.79103,             0.29193,            0.048043,            0.014522,           0.0014431,             0.00901,             0.00901,             0.00901
                  12,            0.049599,             0.01354,           0.0034178,             0.78764,             0.78986,             0.82718,             0.28322,             0.05002,            0.014015,           0.0020024,            0.008911,            0.008911,            0.008911
                  13,            0.047906,            0.014353,           0.0026789,             0.70014,             0.72871,             0.74728,             0.29337,            0.053023,            0.014393,           0.0018771,            0.008812,            0.008812,            0.008812
                  14,            0.048301,            0.014355,           0.0023456,             0.81086,             0.78986,             0.79553,             0.25402,            0.049751,             0.01407,           0.0010761,            0.008713,            0.008713,            0.008713
                  15,            0.046608,            0.014213,            0.001878,             0.82298,             0.79377,             0.80856,             0.29294,            0.048441,            0.013632,          0.00093051,            0.008614,            0.008614,            0.008614
                  16,            0.045988,            0.013292,           0.0021415,             0.83592,             0.79634,             0.81398,             0.29426,            0.048166,            0.013413,          0.00086392,            0.008515,            0.008515,            0.008515
                  17,            0.046385,            0.013271,            0.002402,             0.80629,             0.78971,             0.82226,             0.33086,            0.045629,            0.013958,           0.0021468,            0.008416,            0.008416,            0.008416
                  18,            0.044003,             0.01399,            0.001756,             0.85312,             0.84058,             0.82602,             0.30435,            0.046209,            0.013454,           0.0019814,            0.008317,            0.008317,            0.008317
                  19,            0.044537,             0.01321,           0.0018006,             0.88409,             0.84958,             0.85788,             0.34339,            0.044915,            0.013757,          0.00071368,            0.008218,            0.008218,            0.008218
                  20,              0.0433,             0.01274,           0.0013025,             0.82991,             0.85298,             0.82744,             0.35264,            0.042946,            0.013303,          0.00067667,            0.008119,            0.008119,            0.008119
                  21,            0.041777,            0.013093,            0.001575,             0.85665,             0.81815,             0.83165,             0.31823,            0.045592,            0.013056,          0.00074108,             0.00802,             0.00802,             0.00802
                  22,            0.043294,            0.013176,           0.0014842,              0.8855,             0.84783,             0.84877,             0.35948,            0.043052,            0.013588,          0.00099796,            0.007921,            0.007921,            0.007921
                  23,            0.040918,            0.012732,           0.0014527,             0.87478,             0.83528,             0.85805,             0.36894,             0.04457,            0.013373,           0.0010707,            0.007822,            0.007822,            0.007822
                  24,             0.04117,            0.013093,           0.0011802,             0.84359,             0.83892,             0.83886,             0.35936,             0.04746,            0.013207,           0.0013845,            0.007723,            0.007723,            0.007723
                  25,            0.041622,            0.012522,            0.001432,             0.90943,             0.85634,             0.87841,             0.36514,            0.045764,            0.013299,           0.0012673,            0.007624,            0.007624,            0.007624
                  26,            0.041067,             0.01265,           0.0013074,              0.9119,             0.86957,             0.87062,             0.36252,            0.045407,            0.013141,           0.0013179,            0.007525,            0.007525,            0.007525
                  27,            0.039321,            0.012939,           0.0011802,              0.8761,             0.85985,             0.87658,             0.38174,            0.044962,            0.013396,          0.00069838,            0.007426,            0.007426,            0.007426
                  28,            0.039297,               0.013,            0.001487,             0.87613,             0.84058,             0.85806,             0.36507,            0.044708,            0.012924,           0.0005441,            0.007327,            0.007327,            0.007327
                  29,            0.039083,              0.0124,           0.0016484,             0.87001,             0.86338,             0.85574,             0.36387,            0.042986,            0.013057,          0.00064084,            0.007228,            0.007228,            0.007228
                  30,            0.038721,            0.012493,           0.0014222,             0.87758,             0.85266,             0.84477,             0.35194,            0.046019,            0.013162,          0.00081348,            0.007129,            0.007129,            0.007129
                  31,            0.038134,             0.01307,           0.0012091,             0.86081,             0.81884,             0.82436,             0.34814,             0.04657,            0.013089,          0.00072068,             0.00703,             0.00703,             0.00703
                  32,            0.038208,            0.011732,          0.00097336,             0.91353,             0.88353,             0.87061,             0.37518,            0.044882,            0.013304,          0.00064371,            0.006931,            0.006931,            0.006931
                  33,            0.036758,            0.011151,          0.00099718,             0.86859,             0.86009,             0.83695,             0.35439,            0.045886,            0.013342,          0.00073706,            0.006832,            0.006832,            0.006832
                  34,            0.038082,            0.011349,           0.0014411,             0.88867,             0.86971,             0.86584,             0.34353,              0.0461,            0.013205,          0.00071587,            0.006733,            0.006733,            0.006733
                  35,            0.036513,            0.010368,           0.0010656,             0.89416,              0.8405,             0.86129,             0.37156,            0.045132,            0.013386,          0.00075215,            0.006634,            0.006634,            0.006634
                  36,            0.037002,            0.010894,          0.00076429,             0.87643,              0.8772,             0.86187,             0.37237,            0.045115,            0.013242,          0.00075436,            0.006535,            0.006535,            0.006535
                  37,            0.036339,            0.011886,          0.00086776,             0.89897,             0.88714,             0.87946,             0.35764,            0.044755,            0.013237,          0.00091648,            0.006436,            0.006436,            0.006436
                  38,            0.036206,            0.011843,           0.0012872,             0.86805,             0.87681,             0.87099,             0.39066,            0.044628,             0.01345,           0.0010734,            0.006337,            0.006337,            0.006337
                  39,            0.034609,            0.011341,          0.00093371,             0.88574,             0.86674,             0.87526,             0.37765,             0.04385,            0.014048,           0.0010104,            0.006238,            0.006238,            0.006238
                  40,            0.036387,            0.011061,            0.001205,             0.88064,             0.84524,             0.87119,             0.38319,            0.044988,            0.013984,          0.00068985,            0.006139,            0.006139,            0.006139
                  41,            0.035108,            0.010655,          0.00084329,             0.90733,             0.89252,             0.89354,             0.39931,            0.041497,            0.013673,          0.00051536,             0.00604,             0.00604,             0.00604
                  42,            0.035052,            0.010955,           0.0011623,             0.90563,             0.85962,             0.88722,             0.39269,            0.043981,            0.013637,          0.00053478,            0.005941,            0.005941,            0.005941
                  43,            0.034928,            0.010876,          0.00098001,             0.91231,             0.84058,             0.86426,             0.39756,            0.041651,            0.013383,          0.00052317,            0.005842,            0.005842,            0.005842
                  44,            0.033911,            0.011866,          0.00091053,             0.89086,             0.87029,             0.87288,             0.39288,            0.043512,            0.013373,          0.00050177,            0.005743,            0.005743,            0.005743
                  45,             0.03471,            0.011387,          0.00076599,             0.90352,             0.87591,             0.87832,             0.39697,             0.04473,            0.013921,          0.00046625,            0.005644,            0.005644,            0.005644
                  46,            0.033713,            0.010247,          0.00080221,             0.89495,             0.85759,             0.88344,             0.38265,             0.04542,            0.013977,          0.00045499,            0.005545,            0.005545,            0.005545
                  47,            0.033641,            0.010677,          0.00055037,             0.90044,             0.88389,             0.89528,              0.3927,            0.044447,            0.013381,          0.00048551,            0.005446,            0.005446,            0.005446
                  48,            0.033018,            0.011848,          0.00065802,              0.9285,             0.90018,             0.90094,             0.40084,            0.043058,            0.013043,          0.00082533,            0.005347,            0.005347,            0.005347
                  49,            0.033366,            0.011052,          0.00075352,             0.90058,             0.87897,             0.87846,             0.38308,            0.044633,            0.013399,          0.00094899,            0.005248,            0.005248,            0.005248
                  50,            0.033137,            0.011101,          0.00082428,              0.9116,             0.87138,             0.88561,             0.39131,            0.044271,            0.013813,          0.00054624,            0.005149,            0.005149,            0.005149
                  51,             0.03166,             0.01091,          0.00071058,             0.90551,             0.87992,              0.8787,             0.38199,            0.045616,            0.013579,          0.00060498,             0.00505,             0.00505,             0.00505
                  52,            0.032733,            0.010525,          0.00091512,             0.92571,             0.88476,             0.89854,             0.41374,            0.044738,             0.01364,          0.00058467,            0.004951,            0.004951,            0.004951
                  53,            0.032773,             0.01062,          0.00072965,             0.86979,             0.87963,             0.88915,             0.38718,            0.044254,            0.013709,          0.00051659,            0.004852,            0.004852,            0.004852
                  54,             0.03135,            0.011165,           0.0007804,             0.87067,             0.86686,             0.88489,             0.40662,            0.043369,            0.013526,          0.00042918,            0.004753,            0.004753,            0.004753
                  55,            0.032257,           0.0096312,            0.000569,             0.87312,             0.87646,             0.86476,             0.40313,            0.043881,            0.013683,          0.00043253,            0.004654,            0.004654,            0.004654
                  56,            0.030879,             0.01017,          0.00065382,             0.89134,             0.87064,             0.87386,             0.40012,            0.044578,            0.013542,           0.0004428,            0.004555,            0.004555,            0.004555
                  57,            0.032454,           0.0098184,          0.00067441,             0.90027,             0.90137,             0.90266,             0.40603,             0.04361,            0.013511,          0.00048732,            0.004456,            0.004456,            0.004456
                  58,            0.030781,            0.009906,          0.00068124,             0.89738,             0.89987,             0.88472,             0.41158,            0.043354,            0.013434,          0.00059395,            0.004357,            0.004357,            0.004357
                  59,              0.0314,            0.010773,          0.00075499,              0.9012,             0.86668,             0.88287,             0.41522,            0.044428,            0.013222,          0.00046261,            0.004258,            0.004258,            0.004258
                  60,            0.030337,            0.010231,          0.00060856,             0.89844,             0.87155,             0.87978,             0.41284,            0.043216,            0.013478,          0.00032778,            0.004159,            0.004159,            0.004159
                  61,            0.030996,           0.0099902,          0.00060052,             0.90429,             0.88181,              0.8779,             0.40415,            0.044064,            0.013661,          0.00033605,             0.00406,             0.00406,             0.00406
                  62,            0.029703,            0.010595,          0.00057416,             0.90639,             0.87681,             0.88522,             0.40437,            0.044872,            0.013597,          0.00033244,            0.003961,            0.003961,            0.003961
                  63,            0.030257,           0.0097018,          0.00052546,              0.9005,             0.86663,             0.87934,             0.39585,            0.044724,            0.013824,          0.00039502,            0.003862,            0.003862,            0.003862
                  64,            0.029579,            0.011152,          0.00049603,              0.8775,             0.86309,             0.88294,             0.39736,            0.046094,            0.013724,          0.00041606,            0.003763,            0.003763,            0.003763
                  65,            0.030265,           0.0098217,          0.00061354,              0.9178,               0.886,             0.90068,             0.40458,            0.044681,            0.013705,          0.00042878,            0.003664,            0.003664,            0.003664
                  66,            0.028937,           0.0097008,          0.00045599,             0.89977,             0.90264,              0.8947,             0.40211,            0.044858,            0.013987,          0.00045285,            0.003565,            0.003565,            0.003565
                  67,            0.027531,           0.0099165,          0.00058355,             0.90318,             0.89281,             0.89201,             0.40363,            0.043297,            0.014123,           0.0003965,            0.003466,            0.003466,            0.003466
                  68,            0.028442,           0.0091121,           0.0005323,             0.91492,             0.88295,             0.88301,             0.40896,            0.044253,            0.013884,          0.00037007,            0.003367,            0.003367,            0.003367
                  69,            0.027852,           0.0095281,          0.00063207,             0.89852,             0.88142,             0.89105,             0.40989,            0.044269,            0.013742,          0.00034492,            0.003268,            0.003268,            0.003268
                  70,            0.028558,            0.010347,          0.00095862,             0.90688,             0.90048,             0.90066,             0.41536,            0.043343,            0.013814,          0.00030974,            0.003169,            0.003169,            0.003169
                  71,             0.02876,           0.0096057,          0.00092257,             0.92529,             0.88099,             0.89655,              0.4209,            0.043829,            0.013733,          0.00031442,             0.00307,             0.00307,             0.00307
                  72,             0.02842,           0.0096921,           0.0010721,              0.9153,             0.88178,             0.88259,             0.40142,            0.045138,            0.013823,          0.00035205,            0.002971,            0.002971,            0.002971
                  73,            0.029026,           0.0095254,          0.00056895,             0.89574,             0.86232,             0.86712,             0.40015,            0.043919,             0.01429,          0.00039902,            0.002872,            0.002872,            0.002872
                  74,            0.027308,           0.0096463,          0.00045529,              0.8697,             0.88869,             0.87598,             0.38618,             0.04429,            0.014409,          0.00045411,            0.002773,            0.002773,            0.002773
                  75,            0.026575,           0.0091156,          0.00045064,              0.8756,             0.88134,             0.87638,             0.41512,            0.043783,            0.014061,           0.0003146,            0.002674,            0.002674,            0.002674
                  76,            0.027176,           0.0095426,           0.0003834,              0.9237,             0.89855,             0.90258,              0.4186,            0.043695,            0.014047,          0.00027881,            0.002575,            0.002575,            0.002575
                  77,            0.027244,           0.0093781,          0.00040084,             0.92431,             0.88743,              0.9016,             0.41815,            0.043519,            0.013795,          0.00029771,            0.002476,            0.002476,            0.002476
                  78,            0.027447,           0.0099293,          0.00049185,             0.91255,             0.87729,             0.88913,             0.41319,            0.043293,            0.013667,          0.00032814,            0.002377,            0.002377,            0.002377
                  79,            0.026932,           0.0094155,          0.00035805,             0.89381,              0.9058,             0.89779,             0.40353,            0.043813,            0.013928,          0.00029943,            0.002278,            0.002278,            0.002278
                  80,            0.026428,           0.0098297,          0.00035959,             0.89333,             0.85479,             0.87057,             0.39818,            0.043566,            0.013933,          0.00027513,            0.002179,            0.002179,            0.002179
                  81,            0.026018,           0.0098542,          0.00039334,             0.90355,             0.88857,              0.8956,             0.40847,            0.043042,            0.014104,          0.00028809,             0.00208,             0.00208,             0.00208
